Which category does the property fall under?,What will the project consist of?,What is the intended material for the fence or gate?,What is the desired height of the fence?,What is the estimated length of the fence?,How many access gates are to be included in the fence design?,Should the professional be responsible for supplying the materials?,Please indicate any supplementary fence-related services you may need?,When would you like the work to start?,How likely are you to hire a professional?,Additional Details
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,10.5m long  Cheaper the better
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),As advised by a qualified professional,Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),7 feet (2.1 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,55ft long fence needs replacing.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Repair or replace depending on recommendation
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,Would like 5ft panels with concrete posts and concrete base boards. Removal of old fence from site also required. Close board panels.
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm leaning towards hiring someone,I have recently removed some hedges and a old small fence in the back garden and I'm looking to replace with a new one
Detached - semi-detached or terraced house,Installation of a new fence,As advised by a qualified professional,As advised by a qualified professional,50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Replacing current fence and looking for quotes
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,replace existing fence
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm still researching and exploring options,Back fence to rear garden using existing weather broads but installing 13 meters of new fence panels with 2no new concrete posts
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),Less than 4 feets (under 1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Build a wooden fence on a small wall. Remove all rubbish.
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,Concrete posts & gravel boards,I'm flexible,I'm ready to hire immediately,We would like 6ft feather edge panels supported by concrete post and gravel boards
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm certain I'll be hiring someone,New fencing on one side of garden to be installed. Consider replacing some panels on other side
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),8 feet (2.4 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,I need to replace this fence and add height to the yellow line with something like scaffold boards to block the gap. See attached pictures.
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,Not sure at the moment,As soon as possible,I'm ready to hire immediately,Wind may have blown fence between us and neighbours.  Have a dog so do not want her to get  out of yard.
